"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 22 08:52:46 GMT 2024","Wed May 22 08:52:49 GMT 2024","3332","firefox-sv","report-pagenavi.spec.js","","","","Check the registration number",""
"passed","Wed May 22 08:51:43 GMT 2024","Wed May 22 08:51:46 GMT 2024","3142","chromium-report-en","report-pagenavi.spec.js","","","","Check the page title",""
"passed","Wed May 22 08:52:14 GMT 2024","Wed May 22 08:52:17 GMT 2024","3276","firefox-fi","report-pagenavi.spec.js","","","","Check the page title",""
"passed","Wed May 22 08:51:09 GMT 2024","Wed May 22 08:51:17 GMT 2024","7524","chromium-report-fi","report-pagenavi.spec.js","","","","Check on-page navigation",""
"skipped","Wed May 22 08:54:59 GMT 2024","Wed May 22 08:55:04 GMT 2024","4661","webkit-en","report-data.spec.js","","","","Check the owner data values",""
"passed","Wed May 22 08:52:27 GMT 2024","Wed May 22 08:52:36 GMT 2024","8745","firefox-sv","rekkari-e2e.spec.js","","","","Search motorcycle with reg number ABC123 and get full bundle",""
"passed","Wed May 22 08:51:49 GMT 2024","Wed May 22 08:51:56 GMT 2024","6930","chromium-report-en","report-pagenavi.spec.js","","","","Check on-page navigation",""
"passed","Wed May 22 08:53:06 GMT 2024","Wed May 22 08:53:10 GMT 2024","3452","firefox-en","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:52:49 GMT 2024","Wed May 22 08:52:55 GMT 2024","5741","firefox-sv","report-pagenavi.spec.js","","","","Check on-page navigation",""
"skipped","Wed May 22 08:51:38 GMT 2024","Wed May 22 08:51:40 GMT 2024","2090","chromium-report-en","report-data.spec.js","","","","Check the owner data values",""
"passed","Wed May 22 08:50:55 GMT 2024","Wed May 22 08:50:59 GMT 2024","4111","chromium-report-fi","report-data.spec.js","","","","Check the owner data values",""
"passed","Wed May 22 08:51:57 GMT 2024","Wed May 22 08:52:05 GMT 2024","8250","firefox-fi","rekkari-e2e.spec.js","","","","Search motorcycle with reg number ABC123 and get full bundle",""
"passed","Wed May 22 08:54:08 GMT 2024","Wed May 22 08:54:19 GMT 2024","11198","webkit-sv","rekkari-e2e.spec.js","","","","Search motorcycle with reg number ABC123 and get full bundle",""
"passed","Wed May 22 08:53:13 GMT 2024","Wed May 22 08:53:17 GMT 2024","3454","firefox-en","report-pagenavi.spec.js","","","","Check the registration number",""
"passed","Wed May 22 08:53:23 GMT 2024","Wed May 22 08:53:38 GMT 2024","14827","webkit-fi","rekkari-e2e.spec.js","","","","Search motorcycle with reg number ABC123 and get full bundle",""
"passed","Wed May 22 08:53:54 GMT 2024","Wed May 22 08:53:59 GMT 2024","5039","webkit-fi","report-pagenavi.spec.js","","","","Check the registration number",""
"passed","Wed May 22 08:53:38 GMT 2024","Wed May 22 08:53:44 GMT 2024","5784","webkit-fi","report-data.spec.js","","","","Check the owner data values",""
"passed","Wed May 22 08:52:10 GMT 2024","Wed May 22 08:52:14 GMT 2024","3644","firefox-fi","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:53:10 GMT 2024","Wed May 22 08:53:13 GMT 2024","3551","firefox-en","report-pagenavi.spec.js","","","","Check the page title",""
"passed","Wed May 22 08:55:14 GMT 2024","Wed May 22 08:55:19 GMT 2024","4957","webkit-en","report-pagenavi.spec.js","","","","Check the registration number",""
"skipped","Wed May 22 08:51:17 GMT 2024","Wed May 22 08:51:19 GMT 2024","2055","chromium-report-sv","report-data.spec.js","","","","Check the owner data values",""
"passed","Wed May 22 08:52:39 GMT 2024","Wed May 22 08:52:42 GMT 2024","3312","firefox-sv","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:50:25 GMT 2024","Wed May 22 08:50:33 GMT 2024","7927","chromium-e2e-fi","rekkari-e2e.spec.js","","","","Search motorcycle with reg number ABC123 and get full bundle",""
"skipped","Wed May 22 08:53:03 GMT 2024","Wed May 22 08:53:06 GMT 2024","3277","firefox-en","report-data.spec.js","","","","Check the owner data values",""
"passed","Wed May 22 08:51:19 GMT 2024","Wed May 22 08:51:23 GMT 2024","3425","chromium-report-sv","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:50:59 GMT 2024","Wed May 22 08:51:03 GMT 2024","3438","chromium-report-fi","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:51:23 GMT 2024","Wed May 22 08:51:26 GMT 2024","3130","chromium-report-sv","report-pagenavi.spec.js","","","","Check the page title",""
"passed","Wed May 22 08:52:05 GMT 2024","Wed May 22 08:52:10 GMT 2024","5358","firefox-fi","report-data.spec.js","","","","Check the owner data values",""
"passed","Wed May 22 08:53:44 GMT 2024","Wed May 22 08:53:49 GMT 2024","5070","webkit-fi","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:50:45 GMT 2024","Wed May 22 08:50:55 GMT 2024","9646","chromium-e2e-en","rekkari-e2e.spec.js","","","","Search motorcycle with reg number ABC123 and get full bundle",""
"passed","Wed May 22 08:55:19 GMT 2024","Wed May 22 08:55:27 GMT 2024","8557","webkit-en","report-pagenavi.spec.js","","","","Check on-page navigation",""
"passed","Wed May 22 08:53:49 GMT 2024","Wed May 22 08:53:54 GMT 2024","4825","webkit-fi","report-pagenavi.spec.js","","","","Check the page title",""
"skipped","Wed May 22 08:54:19 GMT 2024","Wed May 22 08:54:24 GMT 2024","4765","webkit-sv","report-data.spec.js","","","","Check the owner data values",""
"passed","Wed May 22 08:51:26 GMT 2024","Wed May 22 08:51:29 GMT 2024","3309","chromium-report-sv","report-pagenavi.spec.js","","","","Check the registration number",""
"passed","Wed May 22 08:55:09 GMT 2024","Wed May 22 08:55:14 GMT 2024","4913","webkit-en","report-pagenavi.spec.js","","","","Check the page title",""
"passed","Wed May 22 08:51:03 GMT 2024","Wed May 22 08:51:06 GMT 2024","3203","chromium-report-fi","report-pagenavi.spec.js","","","","Check the page title",""
