"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 22 08:54:48 GMT 2024","Wed May 22 08:54:59 GMT 2024","11486","webkit-en","rekkari-e2e.spec.js","","","","Search motorcycle with reg number ABC123 and get full bundle",""
"passed","Wed May 22 08:52:42 GMT 2024","Wed May 22 08:52:46 GMT 2024","3276","firefox-sv","report-pagenavi.spec.js","","","","Check the page title",""
"passed","Wed May 22 08:52:21 GMT 2024","Wed May 22 08:52:26 GMT 2024","5435","firefox-fi","report-pagenavi.spec.js","","","","Check on-page navigation",""
"passed","Wed May 22 08:51:40 GMT 2024","Wed May 22 08:51:43 GMT 2024","3407","chromium-report-en","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:51:06 GMT 2024","Wed May 22 08:51:09 GMT 2024","3459","chromium-report-fi","report-pagenavi.spec.js","","","","Check the registration number",""
"passed","Wed May 22 08:53:17 GMT 2024","Wed May 22 08:53:22 GMT 2024","5330","firefox-en","report-pagenavi.spec.js","","","","Check on-page navigation",""
"passed","Wed May 22 08:52:56 GMT 2024","Wed May 22 08:53:03 GMT 2024","7551","firefox-en","rekkari-e2e.spec.js","","","","Search motorcycle with reg number ABC123 and get full bundle",""
"passed","Wed May 22 08:51:46 GMT 2024","Wed May 22 08:51:49 GMT 2024","3187","chromium-report-en","report-pagenavi.spec.js","","","","Check the registration number",""
"passed","Wed May 22 08:54:39 GMT 2024","Wed May 22 08:54:47 GMT 2024","8248","webkit-sv","report-pagenavi.spec.js","","","","Check on-page navigation",""
"passed","Wed May 22 08:55:04 GMT 2024","Wed May 22 08:55:09 GMT 2024","5047","webkit-en","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:54:34 GMT 2024","Wed May 22 08:54:39 GMT 2024","4943","webkit-sv","report-pagenavi.spec.js","","","","Check the registration number",""
"passed","Wed May 22 08:50:33 GMT 2024","Wed May 22 08:50:45 GMT 2024","11357","chromium-e2e-sv","rekkari-e2e.spec.js","","","","Search motorcycle with reg number ABC123 and get full bundle",""
"passed","Wed May 22 08:52:17 GMT 2024","Wed May 22 08:52:21 GMT 2024","3205","firefox-fi","report-pagenavi.spec.js","","","","Check the registration number",""
"passed","Wed May 22 08:54:24 GMT 2024","Wed May 22 08:54:29 GMT 2024","5284","webkit-sv","report-data.spec.js","","","","Check the vehicle data values",""
"passed","Wed May 22 08:51:29 GMT 2024","Wed May 22 08:51:37 GMT 2024","7909","chromium-report-sv","report-pagenavi.spec.js","","","","Check on-page navigation",""
"passed","Wed May 22 08:53:59 GMT 2024","Wed May 22 08:54:07 GMT 2024","8666","webkit-fi","report-pagenavi.spec.js","","","","Check on-page navigation",""
"passed","Wed May 22 08:54:29 GMT 2024","Wed May 22 08:54:34 GMT 2024","4722","webkit-sv","report-pagenavi.spec.js","","","","Check the page title",""
"skipped","Wed May 22 08:52:36 GMT 2024","Wed May 22 08:52:39 GMT 2024","3324","firefox-sv","report-data.spec.js","","","","Check the owner data values",""
